epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,10706.3,0.84449,0.45895,1.06034,0.89806,0.72068,0.78555,0.52419,1.19154,0.65006,1.42782,0.000112323,0.000112323,0.000112323
128,10809.6,0.84243,0.45269,1.06656,0.88544,0.72501,0.78505,0.52215,1.19386,0.64982,1.42752,0.000107921,0.000107921,0.000107921
129,10904,0.83876,0.44996,1.05672,0.88213,0.73107,0.78481,0.51831,1.20046,0.64621,1.43339,0.000103518,0.000103518,0.000103518
130,10991.7,0.83192,0.44946,1.05813,0.89188,0.72061,0.78041,0.51561,1.19405,0.64419,1.43807,9.91162e-05,9.91162e-05,9.91162e-05
131,11079.4,0.83334,0.45007,1.05753,0.88841,0.72405,0.78168,0.51937,1.19135,0.64934,1.4312,9.4714e-05,9.4714e-05,9.4714e-05
132,11177,0.82719,0.44442,1.05747,0.87861,0.73403,0.78318,0.5243,1.18425,0.64859,1.42998,9.03118e-05,9.03118e-05,9.03118e-05
133,11270.1,0.82904,0.44862,1.06312,0.90347,0.72836,0.79116,0.52739,1.17763,0.64618,1.42423,8.59096e-05,8.59096e-05,8.59096e-05
134,11347.4,0.8087,0.43804,1.05039,0.87453,0.73158,0.78495,0.52354,1.18244,0.64802,1.42874,8.15074e-05,8.15074e-05,8.15074e-05
135,11425.5,0.81855,0.44878,1.05689,0.90925,0.72214,0.78979,0.52746,1.18088,0.64675,1.42988,7.71052e-05,7.71052e-05,7.71052e-05
136,11508.2,0.82887,0.44898,1.05204,0.87478,0.74044,0.79301,0.52947,1.17916,0.65178,1.42897,7.2703e-05,7.2703e-05,7.2703e-05
137,11574.3,0.80721,0.44043,1.04934,0.89572,0.72913,0.78764,0.52687,1.17771,0.64818,1.42936,6.83008e-05,6.83008e-05,6.83008e-05
138,11672.6,0.80504,0.4375,1.04359,0.88561,0.7335,0.78783,0.52617,1.18342,0.65269,1.43419,6.38986e-05,6.38986e-05,6.38986e-05
139,11755.6,0.79864,0.43464,1.04665,0.91374,0.72572,0.79168,0.53007,1.17709,0.64891,1.43072,5.94964e-05,5.94964e-05,5.94964e-05
140,11836.1,0.79902,0.43618,1.04282,0.91177,0.72275,0.79233,0.53021,1.17148,0.64479,1.42919,5.50942e-05,5.50942e-05,5.50942e-05
141,11910.1,0.77177,0.39046,1.03882,0.88478,0.72507,0.77924,0.51745,1.19319,0.638,1.4503,5.0692e-05,5.0692e-05,5.0692e-05
142,11987.2,0.75038,0.38078,1.02833,0.89306,0.72884,0.78489,0.51999,1.19279,0.63957,1.45195,4.62898e-05,4.62898e-05,4.62898e-05
143,12051.8,0.73671,0.37346,1.02728,0.87756,0.73974,0.78621,0.52573,1.18328,0.63922,1.44488,4.18876e-05,4.18876e-05,4.18876e-05
144,12114.7,0.73013,0.37219,1.02472,0.88726,0.73746,0.78939,0.52654,1.17838,0.63335,1.44055,3.74854e-05,3.74854e-05,3.74854e-05
145,12188.9,0.73129,0.3728,1.01925,0.88811,0.73488,0.78823,0.52818,1.17887,0.63628,1.44018,3.30832e-05,3.30832e-05,3.30832e-05
146,12260.9,0.72218,0.3666,1.01317,0.8931,0.73264,0.78799,0.52753,1.17468,0.63908,1.44088,2.8681e-05,2.8681e-05,2.8681e-05
147,12343.8,0.71766,0.36665,1.01254,0.89266,0.73224,0.78901,0.52962,1.1694,0.63655,1.43736,2.42788e-05,2.42788e-05,2.42788e-05
148,12405.3,0.71152,0.36552,1.00805,0.90786,0.72955,0.79059,0.52874,1.16939,0.63367,1.43754,1.98766e-05,1.98766e-05,1.98766e-05
149,12476.7,0.71154,0.36304,1.01015,0.88771,0.73907,0.79203,0.53,1.16565,0.63433,1.43783,1.54744e-05,1.54744e-05,1.54744e-05
150,12534.9,0.70855,0.3647,1.01265,0.90094,0.73142,0.79036,0.53252,1.16476,0.63525,1.43505,1.10722e-05,1.10722e-05,1.10722e-05
